Link,Player,Season
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/cicero_moreira_jonathan_302,Jonathan C.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/guillherme_nunes_juan_jesus_303,Juan Jesus G.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/gary_medel_720,Medel G.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/yann_mvila_648,M'vila Y.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/anderson_carvalho_hernanes_595,Hernanes A.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/mateo_kovacic_610,Kovacic M.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/mauro_icardi_847,Icardi M.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/yuto_nagatomo_338,Nagatomo Y.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/danilo_dambrosio_260,D'ambrosio D.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/pablo_daniel_osvaldo_906,Osvaldo P.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/gianluigi_buffon_116,Buffon G.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/leonardo_bonucci_231,Bonucci L.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/martin_caceres_238,Caceres M.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/stephan_lichtsteiner_309,Lichtsteiner S.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/angelo_ogbonna_342,Ogbonna A.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/kwadwo_asamoah_509,Asamoah K.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/kingsley_coman_545,Coman K.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/arturo_vidal_705,Vidal A.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/paul_pogba_672,Pogba P.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/claudio_marchisio_627,Marchisio C.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/carlos_tevez_897,Tevez C.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/roberto_pereyra_664,Pereyra R.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/fernando_llorente_854,Llorente F.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/etrit_berisha_110,Berisha E.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/dusan_basta_220,Basta D.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/lorik_cana_241,Cana L.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/stefan_de_vrij_268,De Vrij S.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/stefan_radu_354,Radu S.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/lucas_biglia_521,Biglia L.,2014
https://www.gazzetta.it/calcio/fantanews/statistiche/serie-a-2014-15/antonio_candreva_534,Candreva A.,2014
