Original,Final
Di Roberto N.,Di Roberto N.
Diakhate A.,Diakhate A.
Diakite M.,Diakite M.
Diamanti A.,Diamanti A.
Diawara A.,Diawara A.
Diego Lopez R.,Diego Lopez R.
Digne L.,Digne L.
Diks K.,Diks K.
Dimarco F.,Dimarco F.
Dionisi F.,Dionisi F.
Diousse A.,Diousse A.
Djimsiti B.,Djimsiti B.
Djordjevic F.,Djordjevic F.
Djordjevic L.,Djordjevic L.
Djurdjevic U.,Djurdjevic U.
Djuric M.,Djuric M.
Djuricic F.,Djuricic F.
Dodo ,Dodo R.
Dodo R.,Dodo R.
Dodo' R.,Dodo R.
Domizzi M.,Domizzi M.
Donkor I.,Donkor I.
Donnarumma G.,Donnarumma G.
Donsah G.,Donsah G.
Dos Santos C.,Dos Santos C.
Doumbia S.,Doumbia S.
Dragowski B.,Dragowski B.
Drame B.,Drame B.
Drame' B.,Drame B.
Duncan A.,Duncan A.
Duncan J.,Duncan J.
Dussenne N.,Dussenne N.
Dybala P.,Dybala P.
Dzeko E.,Dzeko E.
Dzemaili B.,Dzemaili B.
Edenilson A.,Edenilson A.
Eder C.,Eder C.
Ederson H.,Ederson H.
Edimar ,Edimar 
Ekdal A.,Ekdal A.
El Hamdaoui M.,El Hamdaoui M.
El Kaddouri O.,El Kaddouri O.
El Kaoutari A.,El Kaoutari A.
El Shaarawy ,El Shaarawy S.
El Shaarawy S.,El Shaarawy S.
Ely R.,Ely R.
Emanuelson U.,Emanuelson U.
Embalo C.,Embalo C.
Emerson P.,Emerson P.
Eramo M.,Eramo M.
Essien M.,Essien M.
Estigarribia M.,Estigarribia M.
Eto'o S.,Etoo S.
Etoo S.,Etoo S.
Evangelista L.,Evangelista L.
Evra P.,Evra P.
Ewandro ,Ewandro 
F. Anderson ,F. Anderson 
Falcinelli D.,Falcinelli D.
Falco F.,Falco F.
Farago P.,Farago P.
Faraoni D.,Faraoni D.
Fares M.,Fares M.
Farias D.,Farias D.
Farnerud A.,Farnerud A.
Fazio F.,Fazio F.
Fazzi N.,Fazzi N.
Fedato F.,Fedato F.
Feddal Z.,Feddal Z.
Fedele M.,Fedele M.
Felipe ,Felipe 
Felipe Anderson ,Felipe Anderson P.
Felipe Anderson P.,Felipe Anderson P.
Felipe D.,Felipe D.
Fernandes B.,Fernandes B.
Fernandez M.,Fernandez M.
Fernandinho ,Fernandinho 
Fernando L.,Fernando L.
Ferrari A.,Ferrari A.
Ferrari G.,Ferrari G.
Festa M.,Festa M.
Fetfatzidis G.,Fetfatzidis G.
Fiamozzi R.,Fiamozzi R.
Figueiras D.,Figueiras D.
Fiorillo V.,Fiorillo V.
Floccari S.,Floccari S.
Florenzi A.,Florenzi A.
Floro Flores A.,Floro Flores A.
Fofana S.,Fofana S.
Fontanesi L.,Fontanesi L.
Fornasier M.,Fornasier M.
Frara A.,Frara A.
Freuler R.,Freuler R.
Frey N.,Frey N.
Frezzolini G.,Frezzolini G.
Fulignati A.,Fulignati A.
Furman D.,Furman D.
Gabbiadini M.,Gabbiadini M.
Gabriel B.,Gabriel B.
Gabriel F.,Gabriel F.
Gabriel Silva A.,Gabriel Silva A.
Gabriel V.,Gabriel V.
Gagliardini R.,Gagliardini R.
Gagliolo R.,Gagliolo R.
Gakpe S.,Gakpe S.
Galloppa D.,Galloppa D.
Gamberini A.,Gamberini A.
Gargano W.,Gargano W.
Garritano L.,Garritano L.
Gastaldello D.,Gastaldello D.
Gaston Silva ,Gaston Silva P.
Gaston Silva P.,Gaston Silva P.
Gazzi A.,Gazzi A.
Gazzola M.,Gazzola M.
Geijo A.,Geijo A.
Gentiletti S.,Gentiletti S.
Gerson S.,Gerson S.
Gervinho ,Gervinho 
Ghezzal A.,Ghezzal A.
Ghoulam F.,Ghoulam F.
Giaccherini E.,Giaccherini E.
Giannetti N.,Giannetti N.
Gilardino A.,Gilardino A.
Gilberto ,Gilberto 
Gillet J.,Gillet J.
Giorgi L.,Giorgi L.
Giovinco S.,Giovinco S.
Glik K.,Glik K.
Gnahore E.,Gnahore E.
Gnoukouri A.,Gnoukouri A.
Gobbi M.,Gobbi M.
Goldaniga E.,Goldaniga E.
Gollini P.,Gollini P.
Gomez A.,Gomez A.
Gomez G.,Gomez G.
Gomez J.,Gomez J.
Gomez M.,Gomez M.
Gomis A.,Gomis A.
Gonzalez A.,Gonzalez A.
Gonzalez G.,Gonzalez G.
Gori M.,Gori M.
Grassi A.,Grassi A.
Greco L.,Greco L.
Grenier C.,Grenier C.
Guarente T.,Guarente T.
Guarin F.,Guarin F.
Gucher R.,Gucher R.
Guilherme D.,Guilherme D.
Guilherme d.,Guilherme D.
Gustafson S.,Gustafson S.
Gyomber N.,Gyomber N.
Hagi I.,Hagi I.
Hallberg M.,Hallberg M.
Hallfredsson E.,Hallfredsson E.
Hamsik M.,Hamsik M.
Han K.,Han K.
Handanovic S.,Handanovic S.
Haraslin L.,Haraslin L.
Hart J.,Hart J.
Hateboer H.,Hateboer H.
Helander F.,Helander F.
Henrique A.,Henrique A.
Henrique B.,Henrique B.
Hernanes ,Hernanes A.
Hernanes A.,Hernanes A.
Hetemaj P.,Hetemaj P.
Heurtaux T.,Heurtaux T.
Higuain G.,Higuain G.
Hiljemark O.,Hiljemark O.
Hoedt W.,Hoedt W.
Holebas J.,Holebas J.
Honda K.,Honda K.
Hugo Almeida ,Hugo Almeida 
Husbauer J.,Husbauer J.
Hysaj E.,Hysaj E.
Iacobucci A.,Iacobucci A.
Iago F.,Iago Falque
Ibarbo V.,Ibarbo V.
Icardi M.,Icardi M.
Ichazo S.,Ichazo S.
Iemmello P.,Iemmello P.
Ierardi M.,Ierardi M.
Ilicic J.,Ilicic J.
Immobile C.,Immobile C.
Inglese R.,Inglese R.
Inler G.,Inler G.
Insigne L.,Insigne L.
Ionita A.,Ionita A.
