CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Squadra
PUSSETTO,A,,11,11,//www.fantacalcio.it/squadre/Udinese/PUSSETTO/2826,Udinese
LASAGNA,A,Pc,16,16,//www.fantacalcio.it/squadre/Udinese/LASAGNA/90,Udinese
PERICA,A,Pc,3,3,//www.fantacalcio.it/squadre/Udinese/PERICA/605,Udinese
BORGHETTO,P,Por,1,1,//www.fantacalcio.it/squadre/Verona/BORGHETTO/4410,Verona
BERARDI A,P,Por,1,1,//www.fantacalcio.it/squadre/Verona/BERARDI-A/4491,Verona
SILVESTRI,P,Por,6,6,//www.fantacalcio.it/squadre/Verona/SILVESTRI/2211,Verona
RADUNOVIC,P,Por,1,1,//www.fantacalcio.it/squadre/Verona/RADUNOVIC/3,Verona
CRESCENZI,D,,1,1,//www.fantacalcio.it/squadre/Verona/CRESCENZI/457,Verona
GUNTER,D,Dc,5,5,//www.fantacalcio.it/squadre/Verona/GUNTER/2758,Verona
VITALE L,D,,4,4,//www.fantacalcio.it/squadre/Verona/VITALE-L/4496,Verona
BOCCHETTI,D,,7,7,//www.fantacalcio.it/squadre/Verona/BOCCHETTI/4420,Verona
FARAONI,D,,4,4,//www.fantacalcio.it/squadre/Verona/FARAONI/581,Verona
RRAHMANI,D,,4,4,//www.fantacalcio.it/squadre/Verona/RRAHMANI/4409,Verona
ADJAPONG,D,,3,3,//www.fantacalcio.it/squadre/Verona/ADJAPONG/824,Verona
EMPEREUR,D,,4,4,//www.fantacalcio.it/squadre/Verona/EMPEREUR/4494,Verona
MARRONE,D,Dc,4,4,//www.fantacalcio.it/squadre/Verona/MARRONE/84,Verona
DAWIDOWICZ,D,Dc,5,5,//www.fantacalcio.it/squadre/Verona/DAWIDOWICZ/4493,Verona
KUMBULLA,D,Dc,1,1,//www.fantacalcio.it/squadre/Verona/KUMBULLA/4495,Verona
DI GAUDIO,C,W,4,4,//www.fantacalcio.it/squadre/Verona/DI-GAUDIO/81,Verona
ZACCAGNI,C,,9,9,//www.fantacalcio.it/squadre/Verona/ZACCAGNI/632,Verona
DANZI,C,,2,2,//www.fantacalcio.it/squadre/Verona/DANZI/2726,Verona
MIGUEL VELOSO,C,,5,5,//www.fantacalcio.it/squadre/Verona/MIGUEL-VELOSO/2011,Verona
AMRABAT,C,,4,4,//www.fantacalcio.it/squadre/Verona/AMRABAT/4522,Verona
BESSA,C,,9,9,//www.fantacalcio.it/squadre/Verona/BESSA/264,Verona
LUCAS FELIPPE,C,C,1,1,//www.fantacalcio.it/squadre/Verona/LUCAS-FELIPPE/4499,Verona
LAZOVIC,C,,7,7,//www.fantacalcio.it/squadre/Verona/LAZOVIC/236,Verona
VERRE,C,,6,6,//www.fantacalcio.it/squadre/Verona/VERRE/600,Verona
BADU,C,,6,6,//www.fantacalcio.it/squadre/Verona/BADU/589,Verona
HENDERSON L,C,C,4,4,//www.fantacalcio.it/squadre/Verona/HENDERSON-L/4498,Verona
TUTINO,A,A,1,1,//www.fantacalcio.it/squadre/Verona/TUTINO/4507,Verona
RAGUSA,A,A,3,3,//www.fantacalcio.it/squadre/Verona/RAGUSA/2073,Verona
PAZZINI,A,Pc,10,10,//www.fantacalcio.it/squadre/Verona/PAZZINI/636,Verona
LEE,A,A,5,5,//www.fantacalcio.it/squadre/Verona/LEE/2324,Verona
DI CARMINE,A,Pc,13,13,//www.fantacalcio.it/squadre/Verona/DI-CARMINE/4500,Verona
TUPTA,A,Pc,1,1,//www.fantacalcio.it/squadre/Verona/TUPTA/767,Verona
