CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Squadra
MONTIEL,C,,1,1,//www.fantacalcio.it/squadre/Fiorentina/MONTIEL/4353,Fiorentina
CHIESA,C,,26,26,//www.fantacalcio.it/squadre/Fiorentina/CHIESA/2002,Fiorentina
CASTROVILLI,C,,7,7,//www.fantacalcio.it/squadre/Fiorentina/CASTROVILLI/4377,Fiorentina
EYSSERIC,C,,4,4,//www.fantacalcio.it/squadre/Fiorentina/EYSSERIC/2290,Fiorentina
BADELJ,C,,6,6,//www.fantacalcio.it/squadre/Fiorentina/BADELJ/170,Fiorentina
BENASSI,C,C,15,15,//www.fantacalcio.it/squadre/Fiorentina/BENASSI/557,Fiorentina
DABO,C,,3,3,//www.fantacalcio.it/squadre/Fiorentina/DABO/2659,Fiorentina
VLAHOVIC,A,Pc,4,4,//www.fantacalcio.it/squadre/Fiorentina/VLAHOVIC/2841,Fiorentina
THEREAU,A,A,1,1,//www.fantacalcio.it/squadre/Fiorentina/THEREAU/606,Fiorentina
BOATENG,A,A,15,15,//www.fantacalcio.it/squadre/Fiorentina/BOATENG/771,Fiorentina
SOTTIL,A,A,3,3,//www.fantacalcio.it/squadre/Fiorentina/SOTTIL/2839,Fiorentina
SIMEONE,A,Pc,14,14,//www.fantacalcio.it/squadre/Fiorentina/SIMEONE/2061,Fiorentina
RADU I,P,Por,8,8,//www.fantacalcio.it/squadre/Genoa/RADU-I/1843,Genoa
MARCHETTI,P,Por,1,1,//www.fantacalcio.it/squadre/Genoa/MARCHETTI/318,Genoa
JANDREI,P,Por,1,1,//www.fantacalcio.it/squadre/Genoa/JANDREI/4325,Genoa
VODISEK,P,Por,1,1,//www.fantacalcio.it/squadre/Genoa/VODISEK/2761,Genoa
PAJAC,D,,5,5,//www.fantacalcio.it/squadre/Genoa/PAJAC/1876,Genoa
CRISCITO,D,,13,13,//www.fantacalcio.it/squadre/Genoa/CRISCITO/2759,Genoa
ROMERO C,D,Dc,9,9,//www.fantacalcio.it/squadre/Genoa/ROMERO-C/4307,Genoa
BIRASCHI,D,,8,8,//www.fantacalcio.it/squadre/Genoa/BIRASCHI/2083,Genoa
RIZZO N,D,Dc,1,1,//www.fantacalcio.it/squadre/Genoa/RIZZO-N/4392,Genoa
BARRECA,D,,6,6,//www.fantacalcio.it/squadre/Genoa/BARRECA/1979,Genoa
GHIGLIONE,D,,3,3,//www.fantacalcio.it/squadre/Genoa/GHIGLIONE/244,Genoa
EL YAMIQ,D,Dc,2,2,//www.fantacalcio.it/squadre/Genoa/EL-YAMIQ/2664,Genoa
ZAPATA C,D,Dc,8,8,//www.fantacalcio.it/squadre/Genoa/ZAPATA-C/365,Genoa
JAGIELLO,C,C,5,5,//www.fantacalcio.it/squadre/Genoa/JAGIELLO/4384,Genoa
ROVELLA,C,,1,1,//www.fantacalcio.it/squadre/Genoa/ROVELLA/4459,Genoa
AGUDELO,C,C,4,4,//www.fantacalcio.it/squadre/Genoa/AGUDELO/4515,Genoa
HILJEMARK,C,C,5,5,//www.fantacalcio.it/squadre/Genoa/HILJEMARK/433,Genoa
ROMULO,C,,7,7,//www.fantacalcio.it/squadre/Genoa/ROMULO/621,Genoa
ZENNARO,C,,1,1,//www.fantacalcio.it/squadre/Genoa/ZENNARO/4383,Genoa
SCHONE,C,C,11,11,//www.fantacalcio.it/squadre/Genoa/SCHONE/4512,Genoa
CASSATA,C,C,2,2,//www.fantacalcio.it/squadre/Genoa/CASSATA/2213,Genoa
RADOVANOVIC,C,M,6,6,//www.fantacalcio.it/squadre/Genoa/RADOVANOVIC/118,Genoa
STURARO,C,,6,6,//www.fantacalcio.it/squadre/Genoa/STURARO/305,Genoa
SAPONARA,C,T,10,10,//www.fantacalcio.it/squadre/Genoa/SAPONARA/150,Genoa
LERAGER,C,,6,6,//www.fantacalcio.it/squadre/Genoa/LERAGER/4330,Genoa
SANDRO,C,,2,2,//www.fantacalcio.it/squadre/Genoa/SANDRO/2646,Genoa
PINAMONTI,A,Pc,20,20,//www.fantacalcio.it/squadre/Genoa/PINAMONTI/2038,Genoa
FAVILLI,A,Pc,5,5,//www.fantacalcio.it/squadre/Genoa/FAVILLI/819,Genoa
PANDEV,A,,10,10,//www.fantacalcio.it/squadre/Genoa/PANDEV/245,Genoa
KOUAME',A,A,16,16,//www.fantacalcio.it/squadre/Genoa/KOUAME/2762,Genoa
SANABRIA,A,Pc,10,10,//www.fantacalcio.it/squadre/Genoa/SANABRIA/479,Genoa
GUMUS,A,A,6,6,//www.fantacalcio.it/squadre/Genoa/GUMUS/4381,Genoa
BERNI,P,Por,1,1,//www.fantacalcio.it/squadre/Inter/BERNI/248,Inter
PADELLI,P,Por,1,1,//www.fantacalcio.it/squadre/Inter/PADELLI/543,Inter
HANDANOVIC,P,Por,18,18,//www.fantacalcio.it/squadre/Inter/HANDANOVIC/250,Inter
BASTONI,D,Dc,4,4,//www.fantacalcio.it/squadre/Inter/BASTONI/2120,Inter
DIMARCO,D,,3,3,//www.fantacalcio.it/squadre/Inter/DIMARCO/254,Inter
ASAMOAH,D,,10,10,//www.fantacalcio.it/squadre/Inter/ASAMOAH/295,Inter
DE VRIJ,D,Dc,13,13,//www.fantacalcio.it/squadre/Inter/DE-VRIJ/322,Inter
SKRINIAR,D,Dc,15,15,//www.fantacalcio.it/squadre/Inter/SKRINIAR/798,Inter
D'AMBROSIO,D,,9,9,//www.fantacalcio.it/squadre/Inter/DAMBROSIO/253,Inter
RANOCCHIA,D,Dc,2,2,//www.fantacalcio.it/squadre/Inter/RANOCCHIA/261,Inter
DALBERT,D,,3,3,//www.fantacalcio.it/squadre/Inter/DALBERT/2289,Inter
GODIN,D,Dc,14,14,//www.fantacalcio.it/squadre/Inter/GODIN/2572,Inter
AGOUME,C,C,1,1,//www.fantacalcio.it/squadre/Inter/AGOUME/4411,Inter
CANDREVA,C,,7,7,//www.fantacalcio.it/squadre/Inter/CANDREVA/332,Inter
SENSI,C,C,13,13,//www.fantacalcio.it/squadre/Inter/SENSI/1978,Inter
BROZOVIC,C,C,11,11,//www.fantacalcio.it/squadre/Inter/BROZOVIC/265,Inter
LAZARO,C,E,8,8,//www.fantacalcio.it/squadre/Inter/LAZARO/4385,Inter
BORJA VALERO,C,C,3,3,//www.fantacalcio.it/squadre/Inter/BORJA-VALERO/172,Inter
JOAO MARIO,C,,4,4,//www.fantacalcio.it/squadre/Inter/JOAO-MARIO/2078,Inter
BARELLA,C,,15,15,//www.fantacalcio.it/squadre/Inter/BARELLA/1870,Inter
GAGLIARDINI,C,,8,8,//www.fantacalcio.it/squadre/Inter/GAGLIARDINI/801,Inter
VECINO,C,,8,8,//www.fantacalcio.it/squadre/Inter/VECINO/181,Inter
MARTINEZ L,A,Pc,26,26,//www.fantacalcio.it/squadre/Inter/MARTINEZ-L/2764,Inter
ICARDI,A,Pc,31,31,//www.fantacalcio.it/squadre/Inter/ICARDI/277,Inter
LUKAKU R,A,Pc,35,35,//www.fantacalcio.it/squadre/Inter/LUKAKU-R/2531,Inter
ESPOSITO SE,A,Pc,1,1,//www.fantacalcio.it/squadre/Inter/ESPOSITO-SE/4463,Inter
SALCEDO E,A,Pc,1,1,//www.fantacalcio.it/squadre/Inter/SALCEDO-E/2304,Inter
POLITANO,A,,12,12,//www.fantacalcio.it/squadre/Inter/POLITANO/536,Inter
BUFFON,P,Por,4,4,//www.fantacalcio.it/squadre/Juventus/BUFFON/282,Juventus
SZCZESNY,P,Por,17,17,//www.fantacalcio.it/squadre/Juventus/SZCZESNY/453,Juventus
PINSOGLIO,P,Por,1,1,//www.fantacalcio.it/squadre/Juventus/PINSOGLIO/1930,Juventus
PERIN,P,Por,1,1,//www.fantacalcio.it/squadre/Juventus/PERIN/218,Juventus
ALEX SANDRO,D,,14,14,//www.fantacalcio.it/squadre/Juventus/ALEX-SANDRO/662,Juventus
DE SCIGLIO,D,,5,5,//www.fantacalcio.it/squadre/Juventus/DE-SCIGLIO/358,Juventus
DE LIGT,D,Dc,14,14,//www.fantacalcio.it/squadre/Juventus/DE-LIGT/4428,Juventus
