Season,Grade_Type,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Asf,Amm,Esp,Au
2018-19,Statistico,A,MATARESE,Frosinone,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-19,Statistico,C,BURRUCHAGA,Chievo,1,6,6,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,DALMONTE,Genoa,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,SIERRALTA,Parma,5,5.7,5.1,0,0,0,0,0,0,0,0,2,0,1
2018-19,Statistico,P,DAGA,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,ROMERO C,Genoa,27,6,6,2,0,0,0,0,0,1,0,10,2,0
2018-19,Statistico,C,PAQUETA',Milan,13,5.88,5.96,1,0,0,0,0,0,1,0,4,1,0
2018-19,Statistico,D,ZEEGELAAR,Udinese,12,5.67,5.38,0,0,0,0,0,0,0,0,5,1,0
2018-19,Statistico,A,OKAKA,Udinese,14,6.25,7.46,6,0,0,0,0,0,1,0,4,0,0
2018-19,Statistico,P,JANDREI,Genoa,1,6,5,0,1,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,OLIVA,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,P,PERUCCHINI,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,NIKOLAOU,Empoli,4,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,LERAGER,Genoa,14,5.57,5.64,1,0,0,0,0,0,0,0,4,0,0
2018-19,Statistico,D,IBANEZ,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,D,DEMIRAL,Sassuolo,14,6.29,6.61,2,0,0,0,0,0,0,0,3,0,0
2018-19,Statistico,A,DESPODOV,Cagliari,4,5.62,5.62,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,C,PIAZON,Chievo,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0,0
2018-19,Statistico,A,SCHIAPPACASSE,Parma,3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
