CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
PERIN,P,Por,1,1,//www.fantacalcio.it/squadre/Juventus/PERIN/218,2019,Juventus,Perin Mattia,Italia,10/11/1992,188,77
ALEX SANDRO,D,,14,14,//www.fantacalcio.it/squadre/Juventus/ALEX-SANDRO/662,2019,Juventus,Alex Sandro,Brasile,26/01/1991,181,66
DE SCIGLIO,D,,5,5,//www.fantacalcio.it/squadre/Juventus/DE-SCIGLIO/358,2019,Juventus,De Sciglio Mattia,Italia,20/10/1992,183,74
DE LIGT,D,Dc,14,14,//www.fantacalcio.it/squadre/Juventus/DE-LIGT/4428,2019,Juventus,De Ligt Matthijs,Olanda,12/08/1999,189,
CHIELLINI,D,Dc,14,14,//www.fantacalcio.it/squadre/Juventus/CHIELLINI/288,2019,Juventus,Chiellini Giorgio,Italia,14/08/1984,187,84
RUGANI,D,Dc,7,7,//www.fantacalcio.it/squadre/Juventus/RUGANI/294,2019,Juventus,Rugani Daniele,Italia,29/07/1994,188,78
DANILO,D,,11,11,//www.fantacalcio.it/squadre/Juventus/DANILO/4237,2019,Juventus,Danilo Luiz da Silva,Brasile,15/07/1991,184,
BONUCCI,D,Dc,11,11,//www.fantacalcio.it/squadre/Juventus/BONUCCI/286,2019,Juventus,Bonucci Leonardo,Italia,01/05/1987,190,82
DEMIRAL,D,Dc,8,8,//www.fantacalcio.it/squadre/Juventus/DEMIRAL/4332,2019,Juventus,Demiral Merih,Turchia,05/03/1998,192,
BERNARDESCHI,C,,19,19,//www.fantacalcio.it/squadre/Juventus/BERNARDESCHI/184,2019,Juventus,Bernardeschi Federico,Italia,16/02/1994,183,75
FAGIOLI,C,T,1,1,//www.fantacalcio.it/squadre/Juventus/FAGIOLI/4465,2019,Juventus,Fagioli Nicolò,Italia,12/02/2001,178,
PJANIC,C,C,16,16,//www.fantacalcio.it/squadre/Juventus/PJANIC/469,2019,Juventus,Pjanic Miralem,"Bosnia-Erzegovina, Lussemburgo",02/04/1990,180,68
BENTANCUR,C,C,8,8,//www.fantacalcio.it/squadre/Juventus/BENTANCUR/2166,2019,Juventus,Bentancur Rodrigo,Uruguay,25/06/1997,185,
DOUGLAS COSTA,C,W,14,14,//www.fantacalcio.it/squadre/Juventus/DOUGLAS-COSTA/2200,2019,Juventus,Douglas Costa,Brasile,14/09/1990,172,
NICOLUSSI CAVIGLIA,C,C,1,1,//www.fantacalcio.it/squadre/Juventus/NICOLUSSI-CAVIGLIA/4349,2019,Juventus,Nicolussi Caviglia Hans,Italia,18/06/2000,180,
RAMSEY,C,T,18,18,//www.fantacalcio.it/squadre/Juventus/RAMSEY/2472,2019,Juventus,Ramsey Aaron,Galles,26/12/1990,182,
CUADRADO,C,,9,9,//www.fantacalcio.it/squadre/Juventus/CUADRADO/697,2019,Juventus,Cuadrado Jaime,Colombia,26/05/1988,176,66
MATUIDI,C,,12,12,//www.fantacalcio.it/squadre/Juventus/MATUIDI/2306,2019,Juventus,Matuidi Blaise,"Francia, Angola",09/04/1987,180,
RABIOT,C,C,14,14,//www.fantacalcio.it/squadre/Juventus/RABIOT/2379,2019,Juventus,Rabiot Adrien,Francia,03/04/1995,188,
CAN ,C,,14,14,//www.fantacalcio.it/squadre/Juventus/CAN-/2504,2019,Juventus,Can Emre,Germania,12/01/1994,184,
KHEDIRA,C,C,10,10,//www.fantacalcio.it/squadre/Juventus/KHEDIRA/299,2019,Juventus,Khedira Sami,"Germania, Tunisia",04/04/1987,189,85
PORTANOVA,C,C,1,1,//www.fantacalcio.it/squadre/Juventus/PORTANOVA/4370,2019,Juventus,Portanova Manolo,Italia,02/06/2000,183,
PJACA,A,A,4,4,//www.fantacalcio.it/squadre/Juventus/PJACA/1998,2019,Juventus,Pjaca Marko,Croazia,06/05/1995,186,81
CRISTIANO RONALDO,A,Pc,46,46,//www.fantacalcio.it/squadre/Juventus/CRISTIANO-RONALDO/2610,2019,Juventus,Ronaldo Cristiano,Portogallo,05/02/1985,187,
MANDZUKIC,A,Pc,22,22,//www.fantacalcio.it/squadre/Juventus/MANDZUKIC/312,2019,Juventus,Mandzukic Mario,Croazia,21/05/1986,187,84
HIGUAIN,A,Pc,29,29,//www.fantacalcio.it/squadre/Juventus/HIGUAIN/408,2019,Juventus,Higuain Gonzalo,"Argentina, Francia",10/12/1987,184,82
DYBALA,A,A,26,26,//www.fantacalcio.it/squadre/Juventus/DYBALA/309,2019,Juventus,Dybala Paulo,"Argentina, Italia",15/11/1993,177,69
GUERRIERI,P,Por,1,1,//www.fantacalcio.it/squadre/Lazio/GUERRIERI/317,2019,Lazio,Guerrieri Guido,Italia,25/02/1996,187,78
STRAKOSHA,P,Por,13,13,//www.fantacalcio.it/squadre/Lazio/STRAKOSHA/1934,2019,Lazio,Strakosha Thomas,"Albania, Grecia",19/03/1995,192,
PROTO,P,Por,1,1,//www.fantacalcio.it/squadre/Lazio/PROTO/2770,2019,Lazio,Proto Silvio,"Belgio, Italia",23/05/1983,186,
CIPRIANO,D,Dc,1,1,//www.fantacalcio.it/squadre/Lazio/CIPRIANO/4509,2019,Lazio,Cipriano Gustavo,Brasile,26/02/2001,185,
BASTOS,D,Dc,6,6,//www.fantacalcio.it/squadre/Lazio/BASTOS/2062,2019,Lazio,Bastos,Angola,23/11/1991,184,80
LUKAKU J,D,E,3,3,//www.fantacalcio.it/squadre/Lazio/LUKAKU-J/1999,2019,Lazio,Lukaku Jordan,"Belgio, RD del Congo",25/07/1994,183,77
WALLACE,D,Dc,3,3,//www.fantacalcio.it/squadre/Lazio/WALLACE/2007,2019,Lazio,Wallace Santos,Brasile,14/10/1994,191,83
ACERBI,D,Dc,14,14,//www.fantacalcio.it/squadre/Lazio/ACERBI/513,2019,Lazio,Acerbi Francesco,Italia,10/02/1988,192,90
LUIZ FELIPE,D,Dc,7,7,//www.fantacalcio.it/squadre/Lazio/LUIZ-FELIPE/2335,2019,Lazio,Luiz Felipe,Brasile:Italia,22/03/1997,187,
VAVRO,D,Dc,9,9,//www.fantacalcio.it/squadre/Lazio/VAVRO/4397,2019,Lazio,Vavro Denis,Slovacchia,10/04/1996,196,
JORGE SILVA,D,Dc,2,2,//www.fantacalcio.it/squadre/Lazio/JORGE-SILVA/4467,2019,Lazio,Jorge Silva,Portogallo,04/02/1999,184,
RADU,D,,7,7,//www.fantacalcio.it/squadre/Lazio/RADU/329,2019,Lazio,Radu Stefan,Romania,22/10/1986,183,79
DURMISI,D,,2,2,//www.fantacalcio.it/squadre/Lazio/DURMISI/2772,2019,Lazio,Durmisi Riza,"Danimarca, Albania",08/01/1994,168,
PATRIC,D,,2,2,//www.fantacalcio.it/squadre/Lazio/PATRIC/327,2019,Lazio,Patric,Spagna,17/04/1993,184,74
JONY,C,,6,6,//www.fantacalcio.it/squadre/Lazio/JONY/4424,2019,Lazio,Jony,Spagna,09/07/1991,179,
LULIC,C,,12,12,//www.fantacalcio.it/squadre/Lazio/LULIC/338,2019,Lazio,Lulic Senad,"Bosnia-Erzegovina, Svizzera",18/01/1986,183,75
CATALDI,C,,5,5,//www.fantacalcio.it/squadre/Lazio/CATALDI/333,2019,Lazio,Cataldi Danilo,Italia,06/08/1994,180,75
LUIS ALBERTO,C,T,20,20,//www.fantacalcio.it/squadre/Lazio/LUIS-ALBERTO/2085,2019,Lazio,Luis Alberto,Spagna,28/09/1992,182,70
PAROLO,C,,14,14,//www.fantacalcio.it/squadre/Lazio/PAROLO/342,2019,Lazio,Parolo Marco,Italia,25/01/1985,186,82
BERISHA V,C,,5,5,//www.fantacalcio.it/squadre/Lazio/BERISHA-V/2771,2019,Lazio,Berisha Valon,"Kosovo, Norvegia",07/02/1993,176,
LUCAS LEIVA,C,,9,9,//www.fantacalcio.it/squadre/Lazio/LUCAS-LEIVA/2209,2019,Lazio,Lucas Leiva,"Brasile, Italia",09/01/1987,179,
MILINKOVIC-SAVIC,C,,23,23,//www.fantacalcio.it/squadre/Lazio/MILINKOVIC-SAVIC/645,2019,Lazio,Milinkovic-Savic Sergej,"Serbia, Spagna",27/02/1995,192,82
ANDERSON A,C,T,2,2,//www.fantacalcio.it/squadre/Lazio/ANDERSON-A/4389,2019,Lazio,Anderson Andrè,"Italia, Brasile",23/09/1999,180,
LAZZARI M,C,E,15,15,//www.fantacalcio.it/squadre/Lazio/LAZZARI-M/2263,2019,Lazio,Lazzari Manuel,Italia,29/11/1993,174,
MARUSIC,C,E,5,5,//www.fantacalcio.it/squadre/Lazio/MARUSIC/2188,2019,Lazio,Marusic Adam,"Montenegro, Serbia",17/10/1992,177,
ADEKANYE,A,A,8,8,//www.fantacalcio.it/squadre/Lazio/ADEKANYE/4388,2019,Lazio,Adekanye Bobby,"Olanda, Nigeria",14/02/1999,170,
IMMOBILE,A,Pc,34,34,//www.fantacalcio.it/squadre/Lazio/IMMOBILE/785,2019,Lazio,Immobile Ciro,Italia,20/02/1990,184,80
CORREA,A,A,20,20,//www.fantacalcio.it/squadre/Lazio/CORREA/495,2019,Lazio,Correa Joaquin,"Argentina, Italia",13/08/1994,188,
CAICEDO,A,Pc,14,14,//www.fantacalcio.it/squadre/Lazio/CAICEDO/2284,2019,Lazio,Caicedo Felipe,"Ecuador, Spagna",05/09/1988,188,
VIGORITO,P,Por,1,1,//www.fantacalcio.it/squadre/Lecce/VIGORITO/2809,2019,lecce,Vigorito Mauro,Italia,22/05/1990,187,
MILLI,P,Por,1,1,//www.fantacalcio.it/squadre/Lecce/MILLI/4469,2019,lecce,Milli Joakim,"Italia, Canada",27/04/2000,187,
GABRIEL,P,Por,6,6,//www.fantacalcio.it/squadre/Lecce/GABRIEL/385,2019,lecce,Gabriel,Brasile,27/09/1992,193,90
BLEVE,P,Por,1,1,//www.fantacalcio.it/squadre/Lecce/BLEVE/4468,2019,lecce,Bleve Marco,Italia,18/10/1995,184,
GALLO,D,,1,1,//www.fantacalcio.it/squadre/Lecce/GALLO/4502,2019,lecce,Gallo Antonino,Italia,05/01/2000,183,
ROSSETTINI,D,,5,5,//www.fantacalcio.it/squadre/Lecce/ROSSETTINI/54,2019,lecce,Rossettini Luca,Italia,09/05/1985,187,
FIAMOZZI,D,,2,2,//www.fantacalcio.it/squadre/Lecce/FIAMOZZI/805,2019,lecce,Fiamozzi Riccardo,Italia,18/05/1993,178,77
RICCARDI D,D,Dc,1,1,//www.fantacalcio.it/squadre/Lecce/RICCARDI-D/4473,2019,lecce,Riccardi Davide,Italia,09/04/1996,186,
CALDERONI,D,,6,6,//www.fantacalcio.it/squadre/Lecce/CALDERONI/4470,2019,lecce,Calderoni Marco,Italia,18/02/1989,183,
MECCARIELLO,D,Dc,4,4,//www.fantacalcio.it/squadre/Lecce/MECCARIELLO/4472,2019,lecce,Meccariello Biagio,Italia,27/03/1991,187,
RISPOLI,D,,5,5,//www.fantacalcio.it/squadre/Lecce/RISPOLI/423,2019,lecce,Rispoli Andrea,Italia,29/09/1988,187,
BENZAR,D,,6,6,//www.fantacalcio.it/squadre/Lecce/BENZAR/4398,2019,lecce,Benzar Romario,Romania,26/03/1992,180,
LUCIONI,D,Dc,5,5,//www.fantacalcio.it/squadre/Lecce/LUCIONI/2241,2019,lecce,Lucioni Fabio,Italia,25/09/1987,185,
VERA,D,,2,2,//www.fantacalcio.it/squadre/Lecce/VERA/4399,2019,lecce,Vera Brayan,Colombia,15/01/1999,180,
DELL'ORCO,D,,4,4,//www.fantacalcio.it/squadre/Lecce/DELLORCO/517,2019,lecce,Dell'Orco Cristian,Italia,10/02/1994,183,75
MANCOSU,C,T,8,8,//www.fantacalcio.it/squadre/Lecce/MANCOSU/65,2019,lecce,Mancosu Marco,Italia,22/08/1988,180,75
TACHTSIDIS,C,M,5,5,//www.fantacalcio.it/squadre/Lecce/TACHTSIDIS/241,2019,lecce,Tachtsidis Panagiotis,Grecia,15/02/1991,191,86
MAJER,C,,5,5,//www.fantacalcio.it/squadre/Lecce/MAJER/4475,2019,lecce,Majer Zan,Slovenia,25/07/1992,180,
TABANELLI,C,,3,3,//www.fantacalcio.it/squadre/Lecce/TABANELLI/4476,2019,lecce,Tabanelli Andrea,Italia,02/02/1990,192,
HAYE,C,,3,3,//www.fantacalcio.it/squadre/Lecce/HAYE/4474,2019,lecce,Haye Thom,"Olanda, Indonesia",09/02/1995,177,
SHAKHOV,C,,5,5,//www.fantacalcio.it/squadre/Lecce/SHAKHOV/4400,2019,lecce,Shakhov Yevhen,Ucraina,30/11/1990,190,
PETRICCIONE,C,C,6,6,//www.fantacalcio.it/squadre/Lecce/PETRICCIONE/179,2019,lecce,Petriccione Jacopo,Italia,22/02/1995,176,
FARIAS,A,A,11,11,//www.fantacalcio.it/squadre/Lecce/FARIAS/1879,2019,lecce,Farias Diego,Brasile,10/05/1990,172,64
LO FASO,A,,2,2,//www.fantacalcio.it/squadre/Lecce/LO-FASO/2048,2019,lecce,Lo Faso Simone,Italia,18/02/1998,181,
LAPADULA,A,Pc,14,14,//www.fantacalcio.it/squadre/Lecce/LAPADULA/1939,2019,lecce,Lapadula Gianluca,"Italia, Perù",07/02/1990,178,69
LA MANTIA,A,Pc,9,9,//www.fantacalcio.it/squadre/Lecce/LA-MANTIA/4477,2019,lecce,La Mantia Andrea,Italia,06/05/1991,190,
FALCO,A,A,5,5,//www.fantacalcio.it/squadre/Lecce/FALCO/658,2019,lecce,Falco Filippo,Italia,11/02/1992,171,
DONNARUMMA AN,P,Por,1,1,//www.fantacalcio.it/squadre/Milan/DONNARUMMA-AN/216,2019,Milan,Donnarumma Antonio,Italia,07/07/1990,192,96
REINA,P,Por,1,1,//www.fantacalcio.it/squadre/Milan/REINA/387,2019,Milan,Reina Pepe,Spagna,31/08/1982,188,92
DONNARUMMA G,P,Por,15,15,//www.fantacalcio.it/squadre/Milan/DONNARUMMA-G/350,2019,Milan,Donnarumma Gianluigi,Italia,25/02/1999,196,90
CALDARA,D,Dc,4,4,//www.fantacalcio.it/squadre/Milan/CALDARA/1847,2019,Milan,Caldara Mattia,Italia,05/05/1994,187,75
MUSACCHIO,D,Dc,7,7,//www.fantacalcio.it/squadre/Milan/MUSACCHIO/2168,2019,Milan,Musacchio Mateo,"Argentina, Italia",26/08/1990,182,
CALABRIA,D,,9,9,//www.fantacalcio.it/squadre/Milan/CALABRIA/357,2019,Milan,Calabria Davide,Italia,06/12/1996,177,70
HERNANDEZ T,D,,8,8,//www.fantacalcio.it/squadre/Milan/HERNANDEZ-T/4292,2019,Milan,Hernandez Theo,"Francia, Spagna",06/10/1997,184,
STRINIC,D,,2,2,//www.fantacalcio.it/squadre/Milan/STRINIC/395,2019,Milan,Strinic Ivan,Croazia,17/07/1987,186,78
GABBIA,D,Dc,1,1,//www.fantacalcio.it/squadre/Milan/GABBIA/4401,2019,Milan,Gabbia Matteo,Italia,21/10/1999,185,
ROMAGNOLI A,D,Dc,14,14,//www.fantacalcio.it/squadre/Milan/ROMAGNOLI-A/460,2019,Milan,Romagnoli Alessio,Italia,12/01/1995,188,78
DUARTE,D,Dc,9,9,//www.fantacalcio.it/squadre/Milan/DUARTE/4511,2019,Milan,Duarte Leo,Brasile,17/07/1996,183,
CONTI,D,,5,5,//www.fantacalcio.it/squadre/Milan/CONTI/11,2019,Milan,Conti Andrea,Italia,02/03/1994,184,76
RODRIGUEZ R,D,,8,8,//www.fantacalcio.it/squadre/Milan/RODRIGUEZ-R/2169,2019,Milan,Rodriguez Ricardo,"Svizzera, Cile",25/08/1992,180,
BENNACER,C,,10,10,//www.fantacalcio.it/squadre/Milan/BENNACER/2818,2019,Milan,Bennacer Ismael,"Algeria, Francia",01/12/1997,175,
CALHANOGLU,C,T,13,13,//www.fantacalcio.it/squadre/Milan/CALHANOGLU/2194,2019,Milan,Calhanoglu Hakan,"Turchia, Germania",08/02/1994,178,
LAXALT,C,E,5,5,//www.fantacalcio.it/squadre/Milan/LAXALT/235,2019,Milan,Laxalt Diego,"Uruguay, Italia",07/02/1993,178,66
BORINI,C,W,5,5,//www.fantacalcio.it/squadre/Milan/BORINI/2187,2019,Milan,Borini Fabio,Italia,29/03/1991,180,
KRUNIC,C,,13,13,//www.fantacalcio.it/squadre/Milan/KRUNIC/148,2019,Milan,Krunic Rade,Bosnia-Erzegovina,07/10/1993,184,74
BONAVENTURA,C,,16,16,//www.fantacalcio.it/squadre/Milan/BONAVENTURA/367,2019,Milan,Bonaventura Giacomo,Italia,22/08/1989,180,75
KESSIE',C,C,13,13,//www.fantacalcio.it/squadre/Milan/KESSIE/1850,2019,Milan,Kessiè Franck,Costa d'Avorio,19/12/1996,183,76
SUSO,C,,19,19,//www.fantacalcio.it/squadre/Milan/SUSO/375,2019,Milan,Suso,Spagna,19/11/1993,176,70
BIGLIA,C,,8,8,//www.fantacalcio.it/squadre/Milan/BIGLIA/331,2019,Milan,Biglia Lucas,"Argentina, Italia",30/01/1986,178,63
CASTILLEJO,C,,10,10,//www.fantacalcio.it/squadre/Milan/CASTILLEJO/2692,2019,Milan,Castillejo Samu,Spagna,18/01/1995,182,
PAQUETA',C,T,15,15,//www.fantacalcio.it/squadre/Milan/PAQUETA/4322,2019,Milan,Paquetà Lucas,Brasile,27/08/1997,180,
PIATEK,A,Pc,38,38,//www.fantacalcio.it/squadre/Milan/PIATEK/2756,2019,Milan,Piatek Krzysztof,Polonia,01/07/1995,183,
ANDRE' SILVA,A,Pc,15,15,//www.fantacalcio.it/squadre/Milan/ANDRE-SILVA/2175,2019,Milan,Andrè Silva,Portogallo,06/11/1995,185,
RAFAEL LEAO,A,Pc,22,22,//www.fantacalcio.it/squadre/Milan/RAFAEL-LEAO/4510,2019,Milan,Rafael Leao,"Portogallo, Angola",10/06/1999,188,
KARNEZIS,P,Por,1,1,//www.fantacalcio.it/squadre/Napoli/KARNEZIS/570,2019,Napoli,Karnezis Orestis,Grecia,11/07/1985,190,79
OSPINA,P,Por,3,3,//www.fantacalcio.it/squadre/Napoli/OSPINA/2468,2019,Napoli,Ospina David,Colombia,31/08/1988,183,
MERET,P,Por,15,15,//www.fantacalcio.it/squadre/Napoli/MERET/572,2019,Napoli,Meret Alex,Italia,22/03/1997,190,77
DI LORENZO,D,,11,11,//www.fantacalcio.it/squadre/Napoli/DI-LORENZO/2816,2019,Napoli,Di Lorenzo Giovanni,Italia,04/08/1993,183,
LUPERTO,D,,3,3,//www.fantacalcio.it/squadre/Napoli/LUPERTO/393,2019,Napoli,Luperto Sebastiano,Italia,06/09/1996,191,75
MARIO RUI,D,,5,5,//www.fantacalcio.it/squadre/Napoli/MARIO-RUI/142,2019,Napoli,Mario Rui,Portogallo,27/05/1991,168,63
CHIRICHES,D,Dc,4,4,//www.fantacalcio.it/squadre/Napoli/CHIRICHES/640,2019,Napoli,Chiriches Vlad,Romania,14/11/1989,184,75
KOULIBALY,D,Dc,16,16,//www.fantacalcio.it/squadre/Napoli/KOULIBALY/392,2019,Napoli,Koulibaly Kalidou,"Francia, Senegal",20/06/1991,195,89
MANOLAS,D,Dc,13,13,//www.fantacalcio.it/squadre/Napoli/MANOLAS/459,2019,Napoli,Manolas Konstantinos,Grecia,14/06/1991,189,83
HYSAJ,D,,7,7,//www.fantacalcio.it/squadre/Napoli/HYSAJ/140,2019,Napoli,Hysaj Elseid,Albania,20/02/1994,182,70
MALCUIT,D,,8,8,//www.fantacalcio.it/squadre/Napoli/MALCUIT/2860,2019,Napoli,Malcuit Kevin,"Francia, Marocco",31/07/1991,178,
GHOULAM,D,,12,12,//www.fantacalcio.it/squadre/Napoli/GHOULAM/390,2019,Napoli,Ghoulam Faouzi,"Algeria, Francia",01/02/1991,188,80
MAKSIMOVIC,D,,5,5,//www.fantacalcio.it/squadre/Napoli/MAKSIMOVIC/550,2019,Napoli,Maksimovic Nikola,Serbia,25/11/1991,193,82
