CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
TONELLI,D,Dc,5,5,//www.fantacalcio.it/squadre/Napoli/TONELLI/144,2019,Napoli,Tonelli Lorenzo,Italia,17/01/1990,183,78
VERDI,C,,17,17,//www.fantacalcio.it/squadre/Napoli/VERDI/376,2019,Napoli,Verdi Simone,Italia,12/07/1992,171,62
CICIRETTI,C,,1,1,//www.fantacalcio.it/squadre/Napoli/CICIRETTI/2243,2019,Napoli,Ciciretti Amato,Italia,31/12/1993,170,
RUIZ,C,,17,17,//www.fantacalcio.it/squadre/Napoli/RUIZ/2775,2019,Napoli,Ruiz Fabian,Spagna,03/04/1996,189,
CALLEJON,C,W,18,18,//www.fantacalcio.it/squadre/Napoli/CALLEJON/406,2019,Napoli,Callejon Josè Maria,Spagna,11/02/1987,178,73
ZIELINSKI,C,,17,17,//www.fantacalcio.it/squadre/Napoli/ZIELINSKI/152,2019,Napoli,Zielinski Piotr,Polonia,20/05/1994,180,75
ALLAN,C,,14,14,//www.fantacalcio.it/squadre/Napoli/ALLAN/397,2019,Napoli,Allan,"Brasile, Portogallo",08/01/1991,175,74
GAETANO,C,T,1,1,//www.fantacalcio.it/squadre/Napoli/GAETANO/4364,2019,Napoli,Gaetano Gianluca,Italia,05/05/2000,183,
YOUNES,C,,8,8,//www.fantacalcio.it/squadre/Napoli/YOUNES/2776,2019,Napoli,Younes Amin,"Germania, Libano",06/08/1993,168,
ELMAS,C,,7,7,//www.fantacalcio.it/squadre/Napoli/ELMAS/4479,2019,Napoli,Elmas Eljif,Macedonia del Nord,24/09/1999,182,
MERTENS,A,Pc,28,28,//www.fantacalcio.it/squadre/Napoli/MERTENS/410,2019,Napoli,Mertens Dries,Belgio,06/05/1987,169,61
INSIGNE,A,A,27,27,//www.fantacalcio.it/squadre/Napoli/INSIGNE/409,2019,Napoli,Insigne Lorenzo,Italia,04/06/1991,163,59
OUNAS,A,A,8,8,//www.fantacalcio.it/squadre/Napoli/OUNAS/2195,2019,Napoli,Ounas Adam,"Algeria, Francia",11/11/1996,172,
MILIK,A,Pc,28,28,//www.fantacalcio.it/squadre/Napoli/MILIK/2012,2019,Napoli,Milik Arkadiusz,Polonia,28/02/1994,186,78
COLOMBI,P,Por,1,1,//www.fantacalcio.it/squadre/Parma/COLOMBI/412,2019,Parma,Colombi Simone,Italia,01/07/1991,188,83
ALASTRA,P,Por,1,1,//www.fantacalcio.it/squadre/Parma/ALASTRA/654,2019,Parma,Alastra Fabrizio,Italia,01/10/1997,185,
SEPE,P,Por,8,8,//www.fantacalcio.it/squadre/Parma/SEPE/159,2019,Parma,Sepe Luigi,Italia,08/05/1991,185,75
GAGLIOLO,D,,7,7,//www.fantacalcio.it/squadre/Parma/GAGLIOLO/73,2019,Parma,Gagliolo Riccardo,"Italia, Svezia",28/04/1990,180,75
MINELLI,D,Dc,1,1,//www.fantacalcio.it/squadre/Parma/MINELLI/4480,2019,Parma,Minelli Alessandro,Italia,23/07/1999,193,
DERMAKU,D,Dc,4,4,//www.fantacalcio.it/squadre/Parma/DERMAKU/139,2019,Parma,Dermaku Kastriot,"Albania, Italia",15/01/1992,194,
LAURINI,D,,7,7,//www.fantacalcio.it/squadre/Parma/LAURINI/141,2019,Parma,Laurini Vincent,"Francia, Italia",10/06/1989,173,
BRUNO ALVES,D,Dc,9,9,//www.fantacalcio.it/squadre/Parma/BRUNO-ALVES/1864,2019,Parma,Bruno Alves,"Portogallo, Brasile",27/11/1981,189,81
IACOPONI,D,,4,4,//www.fantacalcio.it/squadre/Parma/IACOPONI/2801,2019,Parma,Iacoponi Simone,Italia,30/04/1987,180,
GAZZOLA,D,,2,2,//www.fantacalcio.it/squadre/Parma/GAZZOLA/519,2019,Parma,Gazzola Marcello,Italia,03/04/1985,191,78
KUCKA,C,,12,12,//www.fantacalcio.it/squadre/Parma/KUCKA/234,2019,Parma,Kucka Juraj,Slovacchia,26/02/1987,186,86
SCOZZARELLA,C,,4,4,//www.fantacalcio.it/squadre/Parma/SCOZZARELLA/2804,2019,Parma,Scozzarella Matteo,Italia,05/06/1988,170,
HERNANI,C,,6,6,//www.fantacalcio.it/squadre/Parma/HERNANI/4423,2019,Parma,Hernani,Brasile,27/03/1994,188,
RIGONI L,C,C,3,3,//www.fantacalcio.it/squadre/Parma/RIGONI-L/438,2019,Parma,Rigoni Luca,Italia,07/12/1984,185,72
BRUGMAN,C,,5,5,//www.fantacalcio.it/squadre/Parma/BRUGMAN/430,2019,Parma,Brugman Gaston,"Uruguay, Italia",07/09/1992,175,
GRASSI,C,C,8,8,//www.fantacalcio.it/squadre/Parma/GRASSI/27,2019,Parma,Grassi Alberto,Italia,07/03/1995,183,75
MACHIN,C,C,1,1,//www.fantacalcio.it/squadre/Parma/MACHIN/666,2019,Parma,Machin Josè Pepin,"Guinea Equatoriale, Spagna",14/08/1996,184,
BARILLA',C,C,8,8,//www.fantacalcio.it/squadre/Parma/BARILLA/2802,2019,Parma,Barillà Antonino,Italia,01/04/1988,180,
KULUSEVSKI,C,,4,4,//www.fantacalcio.it/squadre/Parma/KULUSEVSKI/2833,2019,Parma,Kulusevski Dejan,"Svezia, Macedonia",25/04/2000,184,
CORNELIUS,A,Pc,9,9,//www.fantacalcio.it/squadre/Parma/CORNELIUS/2163,2019,Parma,Cornelius Andreas,Danimarca,16/03/1993,193,
SILIGARDI,A,W,8,8,//www.fantacalcio.it/squadre/Parma/SILIGARDI/637,2019,Parma,Siligardi Luca,Italia,26/01/1988,180,73
CERAVOLO,A,Pc,3,3,//www.fantacalcio.it/squadre/Parma/CERAVOLO/2246,2019,Parma,Ceravolo Fabio,Italia,05/03/1987,180,
KARAMOH,A,A,12,12,//www.fantacalcio.it/squadre/Parma/KARAMOH/2325,2019,Parma,Karamoh Yann,"Francia, Costa d'Avorio",08/07/1998,185,
BARAYE,A,A,1,1,//www.fantacalcio.it/squadre/Parma/BARAYE/2805,2019,Parma,Baraye Yves,Senegal,22/06/1992,177,
INGLESE,A,Pc,23,23,//www.fantacalcio.it/squadre/Parma/INGLESE/123,2019,Parma,Inglese Roberto,Italia,12/11/1991,187,75
ADORANTE,A,Pc,1,1,//www.fantacalcio.it/squadre/Parma/ADORANTE/4387,2019,Parma,Adorante Andrea,Italia,05/02/2000,184,
GERVINHO,A,A,19,19,//www.fantacalcio.it/squadre/Parma/GERVINHO/474,2019,Parma,Gervinho,Costa d'avorio,27/05/1987,179,
SPROCATI,A,,6,6,//www.fantacalcio.it/squadre/Parma/SPROCATI/2773,2019,Parma,Sprocati Mattia,Italia,28/04/1993,178,
FUZATO,P,Por,1,1,//www.fantacalcio.it/squadre/Roma/FUZATO/2781,2019,Roma,Fuzato Daniel,Brasile,04/07/1997,190,
PAU LOPEZ,P,Por,14,14,//www.fantacalcio.it/squadre/Roma/PAU-LOPEZ/4419,2019,Roma,Pau Lopez,Spagna,13/12/1994,189,
OLSEN,P,Por,1,1,//www.fantacalcio.it/squadre/Roma/OLSEN/2836,2019,Roma,Olsen Robin,"Svezia, Danimarca",08/01/1990,198,
MIRANTE,P,Por,1,1,//www.fantacalcio.it/squadre/Roma/MIRANTE/41,2019,Roma,Mirante Antonio,Italia,08/07/1983,193,79
BIANDA,D,Dc,1,1,//www.fantacalcio.it/squadre/Roma/BIANDA/2783,2019,Roma,Bianda William,Francia,30/04/2000,185,
JUAN JESUS,D,,5,5,//www.fantacalcio.it/squadre/Roma/JUAN-JESUS/256,2019,Roma,Juan Jesus,Brasile,10/06/1991,185,83
SPINAZZOLA,D,,7,7,//www.fantacalcio.it/squadre/Roma/SPINAZZOLA/1852,2019,Roma,Spinazzola Leonardo,Italia,25/03/1993,186,75
FLORENZI,D,,10,10,//www.fantacalcio.it/squadre/Roma/FLORENZI/464,2019,Roma,Florenzi Alessandro,Italia,11/03/1991,172,67
SANTON,D,,3,3,//www.fantacalcio.it/squadre/Roma/SANTON/262,2019,Roma,Santon Davide,Italia,02/01/1991,186,83
ZAPPACOSTA,D,,9,9,//www.fantacalcio.it/squadre/Roma/ZAPPACOSTA/554,2019,Roma,Zappacosta Davide,Italia,11/06/1992,182,
FAZIO,D,Dc,9,9,//www.fantacalcio.it/squadre/Roma/FAZIO/2016,2019,Roma,Fazio Federico,"Argentina, Italia",17/03/1987,195,90
MANCINI G,D,Dc,14,14,//www.fantacalcio.it/squadre/Roma/MANCINI-G/2296,2019,Roma,Mancini Gianluca,Italia,17/04/1996,190,
CETIN,D,Dc,5,5,//www.fantacalcio.it/squadre/Roma/CETIN/4519,2019,Roma,Cetin Mert,Turchia,01/01/1997,189,
BOUAH,D,,1,1,//www.fantacalcio.it/squadre/Roma/BOUAH/4481,2019,Roma,Bouah Devid Eugene,"Italia, Costa d'Avorio",13/01/2001,178,
KOLAROV,D,,15,15,//www.fantacalcio.it/squadre/Roma/KOLAROV/2214,2019,Roma,Kolarov Aleksandar,Serbia,10/11/1985,186,
GONALONS,C,,4,4,//www.fantacalcio.it/squadre/Roma/GONALONS/2193,2019,Roma,Gonalons Maxime,Francia,10/03/1989,187,
PEROTTI,C,W,14,14,//www.fantacalcio.it/squadre/Roma/PEROTTI/237,2019,Roma,Perotti Diego,"Argentina, Spagna",26/07/1988,179,70
ZANIOLO,C,T,16,16,//www.fantacalcio.it/squadre/Roma/ZANIOLO/2766,2019,Roma,Zaniolo Nicolò,Italia,02/07/1999,189,
DIAWARA,C,,8,8,//www.fantacalcio.it/squadre/Roma/DIAWARA/58,2019,Roma,Diawara Amadou,"Guinea, Italia",17/07/1997,183,75
PELLEGRINI LO,C,,13,13,//www.fantacalcio.it/squadre/Roma/PELLEGRINI-LO/530,2019,Roma,Pellegrini Lorenzo,Italia,19/06/1996,186,82
VERETOUT,C,C,14,14,//www.fantacalcio.it/squadre/Roma/VERETOUT/2215,2019,Roma,Veretout Jordan,Francia,01/03/1993,177,
CRISTANTE,C,C,10,10,//www.fantacalcio.it/squadre/Roma/CRISTANTE/779,2019,Roma,Cristante Bryan,"Italia, Canada",03/03/1995,186,78
PASTORE,C,T,11,11,//www.fantacalcio.it/squadre/Roma/PASTORE/2378,2019,Roma,Pastore Javier,"Argentina, Italia",20/06/1989,187,
UNDER,C,,18,18,//www.fantacalcio.it/squadre/Roma/UNDER/2201,2019,Roma,Under Cengiz,Turchia,14/07/1997,173,
CORIC,C,T,4,4,//www.fantacalcio.it/squadre/Roma/CORIC/2780,2019,Roma,Coric Ante,Croazia,14/04/1997,172,
KLUIVERT,C,W,16,16,//www.fantacalcio.it/squadre/Roma/KLUIVERT/2779,2019,Roma,Kluivert Justin,"Olanda, Suriname",05/05/1999,171,
RICCARDI,C,,1,1,//www.fantacalcio.it/squadre/Roma/RICCARDI/2852,2019,Roma,Riccardi Alessio,Italia,03/04/2001,178,
SCHICK,A,Pc,12,12,//www.fantacalcio.it/squadre/Roma/SCHICK/1974,2019,Roma,Schick Patrick,Cechia,24/01/1996,187,73
DZEKO,A,Pc,30,30,//www.fantacalcio.it/squadre/Roma/DZEKO/647,2019,Roma,Dzeko Edin,Bosnia-Erzegovina,17/03/1986,193,80
DEFREL,A,A,14,14,//www.fantacalcio.it/squadre/Roma/DEFREL/643,2019,Roma,Defrel Gregoire,Francia,17/06/1991,179,77
ANTONUCCI,A,A,2,2,//www.fantacalcio.it/squadre/Roma/ANTONUCCI/2657,2019,Roma,Antonucci Mirko,Italia,11/03/1999,181,
AUDERO,P,Por,11,11,//www.fantacalcio.it/squadre/Sampdoria/AUDERO/761,2019,Sampdoria,Audero Emil,"Italia, Indonesia",18/01/1997,190,78
AVOGADRI,P,Por,1,1,//www.fantacalcio.it/squadre/Sampdoria/AVOGADRI/4523,2019,Sampdoria,Avogadri Lorenzo,Italia,21/08/2001,190,
FALCONE,P,Por,1,1,//www.fantacalcio.it/squadre/Sampdoria/FALCONE/2134,2019,Sampdoria,Falcone Wladimiro,Italia,12/04/1995,195,85
CHABOT,D,Dc,4,4,//www.fantacalcio.it/squadre/Sampdoria/CHABOT/4403,2019,Sampdoria,Chabot Julian,"Germania, Francia",12/02/1998,195,
